행정동코드,행정동,실제외부유출,예측외부유출,외부유출오차,외부유출절대오차,실제외부유입,예측외부유입,외부유입오차,외부유입절대오차,실제내부통행,예측내부통행,내부통행오차,내부통행절대오차
31240600,동탄2동,93610.21094,29802.41913,-63807.79181,63807.79181,104291.0391,36503.17606,-67787.86301,67787.86301,77033.13281,12644.14784,-64388.98497,64388.98497
31240610,동탄1동,62159.23828,94444.75934,32285.52106,32285.52106,70581.70313,73228.63757,2646.934448,2646.934448,32250.97266,29477.71838,-2773.254272,2773.254272
31240620,동탄3동,57138.23828,45191.20777,-11947.03051,11947.03051,61469.62109,41883.29933,-19586.32176,19586.32176,33785.30859,22022.77216,-11762.53643,11762.53643
31240640,동탄4동,42129.28906,23987.50797,-18141.7811,18141.7811,34414.64063,16666.83997,-17747.80066,17747.80066,53936.57813,13236.27496,-40700.30316,40700.30316
31240650,동탄5동,74660.04688,91850.02854,17189.98167,17189.98167,48599.76172,68632.56413,20032.80242,20032.80242,42257.01172,30774.72653,-11482.28519,11482.28519
31240690,동탄7동,17254.53125,60739.15368,43484.62243,43484.62243,20587.57031,31935.30669,11347.73638,11347.73638,11005.06934,43673.80674,32668.7374,32668.7374
31240700,동탄6동,141041.3281,49971.68902,-91069.6391,91069.6391,126899.9844,57077.89801,-69822.08636,69822.08636,22814.74805,24878.3384,2063.590354,2063.590354
31240710,동탄8동,7040.992188,9157.773214,2116.781026,2116.781026,8315.009766,12620.67866,4305.668894,4305.668894,24671.23633,5476.271041,-19194.96529,19194.96529
11240820,위례동,64368.83203,39066.22702,-25302.60502,25302.60502,47784.34766,37011.14092,-10773.20673,10773.20673,16221.83301,17065.87109,844.0380802,844.0380802
31021680,위례동,71838.46875,87841.87058,16003.40183,16003.40183,57204.90234,67084.19299,9879.290644,9879.290644,42551.75391,41662.00226,-889.7516423,889.7516423
31180650,위례동,36552.09766,26243.44086,-10308.6568,10308.6568,42023.36328,32488.87111,-9534.492168,9534.492168,5498.47998,13453.81042,7955.330437,7955.330437
23080800,검단동,44737.15625,45257.12276,519.9665091,519.9665091,40405.51563,44485.76256,4080.246939,4080.246939,20836.64648,28110.21185,7273.565365,7273.565365
23080810,불로대곡동,28282.84961,30546.54538,2263.695766,2263.695766,32127.18555,32725.08328,597.8977373,597.8977373,7014.071777,15666.31379,8652.242009,8652.242009
23080850,당하동,56264.83203,49533.32476,-6731.507276,6731.507276,58351.11328,42933.03186,-15418.08142,15418.08142,10428.72168,12943.2766,2514.554915,2514.554915
23080860,마전동,3736.673828,38940.92699,35204.25316,35204.25316,4805.886719,38222.02082,33416.1341,33416.1341,21427.94922,11247.02688,-10180.92234,10180.92234
23080870,원당동,61325.30469,21268.464,-40056.84069,40056.84069,46574.94531,26637.48532,-19937.45999,19937.45999,10532.53809,10986.97984,454.4417526,454.4417526
23080880,아라동,11993.61328,32569.55559,20575.94231,20575.94231,12490.64355,23844.3788,11353.73524,11353.73524,1813.526978,21209.04355,19395.51657,19395.51657
